env,k,elapse,profit
1,4,256,2220.45
1,4,256,2106.7
1,4,256,2394.025
1,4,256,1965.475
1,4,256,2304.375
1,4,256,2841.875
1,4,256,2340.375
1,4,256,2335.625
1,4,256,2322.175
1,4,256,2739.9
1,4,256,2278.45
1,4,256,2845.675
1,4,256,2786.0
1,4,256,2403.825
1,4,256,2911.575
1,4,256,2079.05
1,4,256,2490.2
1,4,256,3005.675
1,4,256,2282.95
1,4,256,1680.3
1,4,256,2123.875
1,4,256,1868.025
1,4,256,2282.75
1,4,256,2364.4
1,4,256,2456.5
1,4,256,2231.05
1,4,256,2780.725
1,4,256,2140.75
1,4,256,1649.15
1,4,256,2468.925
1,4,256,2430.475
1,4,256,3003.275
1,4,256,3404.6
1,4,256,2275.225
1,4,256,1810.15
1,4,256,2083.55
1,4,256,2493.65
1,4,256,1835.95
1,4,256,2317.925
1,4,256,1905.0
1,4,256,1897.325
1,4,256,1902.475
1,4,256,2084.05
1,4,256,2513.225
1,4,256,2325.9
1,4,256,2324.9
0,2,32,1723.9
0,2,32,2571.725
0,2,32,1881.0
0,2,32,1820.625
0,2,32,2423.575
0,2,32,2038.075
0,2,32,2143.9
0,2,32,3085.275
0,2,32,2085.825
0,2,32,2695.4
0,2,32,1361.7
0,2,32,2137.425
0,2,32,1858.7
0,2,32,1669.6
0,2,32,2216.575
0,2,32,3373.175
0,2,32,2428.575
0,2,32,2524.725
0,2,32,2811.125
0,2,32,2325.9
0,2,32,1936.275
0,2,32,2449.3
0,2,32,2393.05
0,2,32,1843.6
0,2,32,1756.45
0,2,32,1485.025
0,2,32,2306.775
0,2,32,2749.45
0,2,32,1590.625
0,2,32,3219.5
0,2,32,2644.4
0,2,32,2387.0
0,2,32,1734.25
0,2,32,1924.55
